index,price
11,137300
12,93900
14,23400
15,12300
57,11600
58,4600
59,4600
60,6300
61,6300
62,7900
63,7900
64,6600
65,6600
68,11700
70,11700
74,11700
109,63800
110,89200
111,77400
112,77400
113,8600
114,26500
119,33200
120,50700
121,50700
279,5500
278,10800
277,11900
126,15200
128,1200
129,1200
130,9000
131,4700
132,4700
133,36300
134,31100
135,40100
138,18300
139,24400
142,14300
143,11200
144,21400
145,30700
146,30700
147,30700
150,17100
151,39200
152,38300
153,38100
154,2900
170,19200
171,52900
187,4600
189,2700
283,1300
282,1300
194,12700
195,15100
284,18200
196,10600
198,25400
200,4600
201,39400
202,25300
203,25300
2017,13700
204,25300
205,18900
206,17300
207,27300
208,27300
214,3200
216,2700
218,3700
219,12100
220,21000
221,19900
222,23900
223,56400
224,63000
285,7100
286,26500
231,8900
226,13100
228,25300
229,12400
230,12400
232,8600
234,4500
236,4700
237,4700
242,6200
243,2300
244,11300
245,18900
246,18900
247,18900
248,18900
249,18900
262,32600
263,32600
264,32600
265,32600
267,9500
268,2500
269,700
270,39700
271,5400
272,4700
