index,price
33,12000
34,4800
35,4800
36,9600
37,9600
38,8200
39,8200
40,6800
42,12200
44,12200
47,12200
51,8900
52,8900
83,95900
84,12200
85,34400
86,55100
198,6300
92,4100
94,1300
95,1300
96,9400
97,4800
98,4800
101,14100
102,11600
103,22200
105,1700
106,6500
107,3000
119,26800
127,2200
129,4300
133,13100
134,13100
135,13800
136,13100
142,4400
143,13600
208,24800
207,26000
206,29500
145,26300
146,19600
149,3900
150,12600
151,21800
2012,1500
2011,1500
209,1500
2010,1500
155,4100
158,2700
159,7600
160,5800
161,2000
162,3600
163,4000
164,5600
165,4800
166,14300
167,24600
168,28300
169,11700
170,19600
171,19600
172,19600
173,19600
174,19600
188,33800
189,33800
190,33800
191,33800
195,5600
196,41200
