index,price
74,12700
75,35900
79,5900
80,6600
81,6600
82,11000
84,1300
85,9800
86,5000
87,53500
88,30300
91,12100
92,23100
98,4200
99,4200
100,8900
101,8900
102,8500
103,8500
1012,2300
105,18400
106,37200
107,3300
1010,33700
1011,17800
117,8900
118,8900
119,13300
225,8300
120,13100
132,9600
134,1400
135,1400
148,9100
140,42500
141,30500
226,26300
142,25100
143,26000
144,20400
146,9300
149,3700
150,12100
151,20900
152,7000
153,26400
227,9900
223,19900
222,19900
221,39800
220,13400
219,13400
218,27400
160,6700
161,5000
176,12200
163,9600
164,9600
165,9600
166,9600
167,9600
168,9600
169,9600
170,10300
171,2500
172,800
173,42900
174,5800
